bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1943738,2160,HR120,1,Introduced,2025-01-28,"Recognizing the Washington's Birthday Celebration Association of Laredo.","Recognizing the Washington's Birthday Celebration Association of Laredo.",0,,2025-01-28,Filed,https://legiscan.com/TX/bill/HR120/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR120
1943654,2160,HR121,1,Introduced,2025-01-28,"Recognizing February 4, 2025, as Laredo Day at the State Capitol.","Recognizing February 4, 2025, as Laredo Day at the State Capitol.",0,,2025-01-28,Filed,https://legiscan.com/TX/bill/HR121/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR121
1943561,2160,HR122,4,Passed,2025-01-29,"Recognizing January 29, 2025, as Brownsville Day at the State Capitol.","Recognizing January 29, 2025, as Brownsville Day at the State Capitol.",0,,2025-01-29,"Reported enrolled",https://legiscan.com/TX/bill/HR122/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR122
1943607,2160,HR123,1,Introduced,2025-01-28,"Commemorating the 232nd anniversary of the birth of Sam Houston.","Commemorating the 232nd anniversary of the birth of Sam Houston.",0,,2025-01-28,Filed,https://legiscan.com/TX/bill/HR123/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR123
1943553,2160,HR124,1,Introduced,2025-01-28,"Commemorating the 233rd anniversary of the birth of Sam Houston.","Commemorating the 233rd anniversary of the birth of Sam Houston.",0,,2025-01-28,Filed,https://legiscan.com/TX/bill/HR124/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR124
1943709,2160,HR125,1,Introduced,2025-01-28,"Congratulating Rice University on being named to Forbes magazine's list of New Ivies.","Congratulating Rice University on being named to Forbes magazine's list of New Ivies.",0,,2025-01-28,Filed,https://legiscan.com/TX/bill/HR125/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR125
1943580,2160,HR126,1,Introduced,2025-01-28,"Commending Gabriela Garza for designing the House District 35 ornament for the Lone Star Celebration Christmas Tree.","Commending Gabriela Garza for designing the House District 35 ornament for the Lone Star Celebration Christmas Tree.",0,,2025-01-28,Filed,https://legiscan.com/TX/bill/HR126/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR126
1944055,2160,HR127,1,Introduced,2025-01-28,"Recognizing February 4, 2025, as Texas Energy Day at the State Capitol.","Recognizing February 4, 2025, as Texas Energy Day at the State Capitol.",0,,2025-01-28,Filed,https://legiscan.com/TX/bill/HR127/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR127
1944341,2160,HR128,1,Introduced,2025-01-28,"Congratulating the football team from Randle High School in Richmond on winning the UIL 5A Division 2 state championship.","Congratulating the football team from Randle High School in Richmond on winning the UIL 5A Division 2 state championship.",0,,2025-01-28,Filed,https://legiscan.com/TX/bill/HR128/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR128
1945783,2160,HR129,1,Introduced,2025-01-29,"Recognizing February 24, 2025, as Taft Housing Authority Day at the State Capitol.","Recognizing February 24, 2025, as Taft Housing Authority Day at the State Capitol.",0,,2025-01-29,Filed,https://legiscan.com/TX/bill/HR129/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR129
