bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1891290,3026868,text,42425,text/html,Introduced,https://legiscan.com/TX/text/HB674/id/3026868,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00674I.htm
1890855,3026554,text,9059,text/html,Introduced,https://legiscan.com/TX/text/HB675/id/3026554,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00675I.htm
1891262,3026847,text,7029,text/html,Introduced,https://legiscan.com/TX/text/HB676/id/3026847,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00676I.htm
1890534,3026343,text,6738,text/html,Introduced,https://legiscan.com/TX/text/HB677/id/3026343,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00677I.htm
1891461,3026999,text,11876,text/html,Introduced,https://legiscan.com/TX/text/HB678/id/3026999,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00678I.htm
1890946,3026620,text,11226,text/html,Introduced,https://legiscan.com/TX/text/HB679/id/3026620,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00679I.htm
1890622,3026396,text,10670,text/html,Introduced,https://legiscan.com/TX/text/HB680/id/3026396,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00680I.htm
1891483,3027015,text,11685,text/html,Introduced,https://legiscan.com/TX/text/HB681/id/3027015,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00681I.htm
1890877,3026571,text,23288,text/html,Introduced,https://legiscan.com/TX/text/HB682/id/3026571,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00682I.htm
1891555,3027070,text,445002,text/html,Introduced,https://legiscan.com/TX/text/HB683/id/3027070,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00683I.htm
1891413,3026962,text,5209,text/html,Introduced,https://legiscan.com/TX/text/HB684/id/3026962,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00684I.htm
1890360,3026227,text,4462,text/html,Introduced,https://legiscan.com/TX/text/HB685/id/3026227,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00685I.htm
1891214,3026813,text,8903,text/html,Introduced,https://legiscan.com/TX/text/HB686/id/3026813,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00686I.htm
1891699,3027172,text,14689,text/html,Introduced,https://legiscan.com/TX/text/HB687/id/3027172,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00687I.htm
1891480,3027012,text,40813,text/html,Introduced,https://legiscan.com/TX/text/HB688/id/3027012,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00688I.htm
1890303,3026194,text,10122,text/html,Introduced,https://legiscan.com/TX/text/HB689/id/3026194,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00689I.htm
