bill_id,people_id,position
1890906,24094,1
1890907,22433,1
1890908,22376,1
1890909,14046,1
1890910,23342,1
1890911,5949,1
1890912,14990,1
1890913,21336,1
1890914,6029,1
1890915,22955,1
1890916,18680,1
1890917,17365,1
1890918,20230,1
1890919,6032,1
1890920,23179,1
1890921,22896,1
1890922,5850,2
1890922,5904,4
1890922,5949,6
1890922,11599,7
1890922,20805,5
1890922,21679,1
1890922,25224,3
1890923,15409,1
1890924,5920,1
1890925,14046,1
1890926,21683,1
1890927,25225,1
1890928,24094,1
1890929,24079,1
1890930,24089,1
1890931,22435,1
1890932,18029,1
1890933,21335,1
1890934,19959,1
1890935,5874,1
1890936,5904,2
1890936,5949,3
1890936,11599,1
1890937,18029,1
1890938,5949,1
1890939,25225,1
1890940,17365,1
1890941,15409,1
1890942,18029,1
1890943,19319,1
1890944,17984,1
1890945,11598,1
1890946,20230,1
1890947,20235,1
1890948,23145,1
1890949,22437,1
1890950,24089,1
1890951,18680,1
1890952,6032,1
1890953,24078,1
1890954,22955,1
1890955,6029,1
1890956,16847,1
1890957,14990,1
1890958,17576,1
1890959,6032,1
1890960,5949,1
1890961,5944,1
1890962,15409,1
1890963,18674,1
1890964,20241,1
1890965,22433,1
1890966,19959,1
1890967,23145,1
1890968,5933,1
1890968,16267,2
1890968,17365,3
1890968,20015,4
1890969,14047,1
1890970,21335,1
1890971,17631,1
1890972,16846,1
1890973,17365,1
1890974,24075,1
1890975,5921,1
1890976,14783,1
1890977,18680,1
1890978,14783,1
1890979,22955,1
1890980,20235,1
1890981,17365,1
1890982,6029,1
1890983,20235,1
1890984,17631,1
1890985,20173,1
1890986,18675,1
1890987,22376,1
1890988,22896,1
1890989,5903,1
1890990,6015,1
1890991,24079,1
1890992,5949,1
1890993,6032,1
1890995,17365,1
1890996,21335,1
1890997,5949,1
1890998,24090,1
1890999,5949,1
1891000,20805,1
1891001,18674,1
1891002,14785,1
1891003,17365,1
1891004,5997,1
1891005,17365,1
1891006,24084,1
1891007,5875,1
1891008,5903,1
1891009,16847,1
1891010,14568,1
1891011,14990,1
1891012,5949,1
1891013,22376,1
1891014,15409,1
1891015,17365,1
1891016,5850,1
1891017,21636,1
1891018,19319,1
1891019,16847,1
1891020,16846,1
1891021,19319,1
1891022,25226,1
1891023,19686,1
1891024,20228,1
1891025,22376,1
1891026,11598,1
1891027,21336,1
1891028,14046,1
1891029,14568,1
1891030,5903,1
1891031,19686,1
1891032,14568,1
1891033,22136,1
1891034,16847,1
1891035,14046,1
1891036,19959,1
1891037,24079,1
1891038,14783,1
1891039,20248,1
1891040,19686,1
1891041,19686,1
1891042,5949,1
1891043,5997,1
1891044,5997,1
1891045,14783,1
1891046,24089,1
1891047,17984,1
1891048,5997,1
1891049,20235,1
1891050,20232,1
1891051,17631,1
1891052,5920,1
1891053,16848,1
1891054,5949,1
1891055,5920,1
1891056,15409,1
1891057,11598,1
1891058,11013,1
1891059,16526,1
1891060,23342,1
1891061,23342,1
1891062,18029,1
1891063,14990,1
1891064,20232,1
1891065,11598,1
1891066,21336,1
1891067,24094,1
